,ensembl_gene_id,hsapiens_homolog_ensembl_gene
152,ENSMUSG00000094383,ENSG00000182330
153,ENSMUSG00000094383,ENSG00000187545
154,ENSMUSG00000079192,
155,ENSMUSG00000096680,ENSG00000239810
156,ENSMUSG00000096680,ENSG00000229571
157,ENSMUSG00000096680,ENSG00000204505
158,ENSMUSG00000096680,ENSG00000204478
159,ENSMUSG00000096680,ENSG00000204501
160,ENSMUSG00000096680,ENSG00000270601
161,ENSMUSG00000096680,ENSG00000116726
162,ENSMUSG00000096680,ENSG00000120952
163,ENSMUSG00000096680,ENSG00000279169
164,ENSMUSG00000096680,ENSG00000204479
165,ENSMUSG00000096680,ENSG00000279804
166,ENSMUSG00000096680,ENSG00000204510
167,ENSMUSG00000096680,ENSG00000243073
168,ENSMUSG00000096680,ENSG00000280267
169,ENSMUSG00000096680,ENSG00000274764
170,ENSMUSG00000096680,ENSG00000116721
171,ENSMUSG00000096680,ENSG00000204480
172,ENSMUSG00000096680,ENSG00000232423
173,ENSMUSG00000096680,ENSG00000204481
174,ENSMUSG00000096680,ENSG00000237700
175,ENSMUSG00000096680,ENSG00000182330
176,ENSMUSG00000096680,ENSG00000187545
177,ENSMUSG00000094337,ENSG00000239810
178,ENSMUSG00000094337,ENSG00000229571
179,ENSMUSG00000094337,ENSG00000204505
180,ENSMUSG00000094337,ENSG00000204478
181,ENSMUSG00000094337,ENSG00000204501
182,ENSMUSG00000094337,ENSG00000270601
183,ENSMUSG00000094337,ENSG00000116726
184,ENSMUSG00000094337,ENSG00000120952
185,ENSMUSG00000094337,ENSG00000279169
186,ENSMUSG00000094337,ENSG00000204479
187,ENSMUSG00000094337,ENSG00000279804
188,ENSMUSG00000094337,ENSG00000204510
189,ENSMUSG00000094337,ENSG00000243073
190,ENSMUSG00000094337,ENSG00000280267
191,ENSMUSG00000094337,ENSG00000274764
192,ENSMUSG00000094337,ENSG00000116721
193,ENSMUSG00000094337,ENSG00000204480
194,ENSMUSG00000094337,ENSG00000232423
195,ENSMUSG00000094337,ENSG00000204481
196,ENSMUSG00000094337,ENSG00000237700
197,ENSMUSG00000094337,ENSG00000182330
198,ENSMUSG00000094337,ENSG00000187545
199,ENSMUSG00000096244,
200,ENSMUSG00000094874,ENSG00000135899
201,ENSMUSG00000079794,
202,ENSMUSG00000095505,ENSG00000239810
203,ENSMUSG00000095505,ENSG00000229571
204,ENSMUSG00000095505,ENSG00000204505
205,ENSMUSG00000095505,ENSG00000204478
206,ENSMUSG00000095505,ENSG00000204501
207,ENSMUSG00000095505,ENSG00000270601
208,ENSMUSG00000095505,ENSG00000116726
209,ENSMUSG00000095505,ENSG00000120952
210,ENSMUSG00000095505,ENSG00000279169
211,ENSMUSG00000095505,ENSG00000204479
212,ENSMUSG00000095505,ENSG00000279804
213,ENSMUSG00000095505,ENSG00000204510
214,ENSMUSG00000095505,ENSG00000243073
215,ENSMUSG00000095505,ENSG00000280267
216,ENSMUSG00000095505,ENSG00000274764
217,ENSMUSG00000095505,ENSG00000116721
218,ENSMUSG00000095505,ENSG00000204480
219,ENSMUSG00000095505,ENSG00000232423
220,ENSMUSG00000095505,ENSG00000204481
221,ENSMUSG00000095505,ENSG00000237700
222,ENSMUSG00000095505,ENSG00000182330
223,ENSMUSG00000095505,ENSG00000187545
224,ENSMUSG00000095500,
225,ENSMUSG00000094474,ENSG00000239810
226,ENSMUSG00000094474,ENSG00000229571
227,ENSMUSG00000094474,ENSG00000204505
228,ENSMUSG00000094474,ENSG00000204478
229,ENSMUSG00000094474,ENSG00000204501
230,ENSMUSG00000094474,ENSG00000270601
231,ENSMUSG00000094474,ENSG00000116726
232,ENSMUSG00000094474,ENSG00000120952
233,ENSMUSG00000094474,ENSG00000279169
234,ENSMUSG00000094474,ENSG00000204479
235,ENSMUSG00000094474,ENSG00000279804
236,ENSMUSG00000094474,ENSG00000204510
237,ENSMUSG00000094474,ENSG00000243073
238,ENSMUSG00000094474,ENSG00000280267
239,ENSMUSG00000094474,ENSG00000274764
240,ENSMUSG00000094474,ENSG00000116721
241,ENSMUSG00000094474,ENSG00000204480
242,ENSMUSG00000094474,ENSG00000232423
243,ENSMUSG00000094474,ENSG00000204481
244,ENSMUSG00000094474,ENSG00000237700
245,ENSMUSG00000094474,ENSG00000182330
246,ENSMUSG00000094474,ENSG00000187545
247,ENSMUSG00000094799,ENSG00000135899
248,ENSMUSG00000095450,
249,ENSMUSG00000095570,ENSG00000239810
250,ENSMUSG00000095570,ENSG00000229571
251,ENSMUSG00000095570,ENSG00000204505
252,ENSMUSG00000095570,ENSG00000204478
253,ENSMUSG00000095570,ENSG00000204501
254,ENSMUSG00000095570,ENSG00000270601
255,ENSMUSG00000095570,ENSG00000116726
256,ENSMUSG00000095570,ENSG00000120952
257,ENSMUSG00000095570,ENSG00000279169
258,ENSMUSG00000095570,ENSG00000204479
259,ENSMUSG00000095570,ENSG00000279804
260,ENSMUSG00000095570,ENSG00000204510
261,ENSMUSG00000095570,ENSG00000243073
262,ENSMUSG00000095570,ENSG00000280267
263,ENSMUSG00000095570,ENSG00000274764
264,ENSMUSG00000095570,ENSG00000116721
265,ENSMUSG00000095570,ENSG00000204480
266,ENSMUSG00000095570,ENSG00000232423
267,ENSMUSG00000095570,ENSG00000204481
268,ENSMUSG00000095570,ENSG00000237700
269,ENSMUSG00000095570,ENSG00000182330
270,ENSMUSG00000095570,ENSG00000187545
271,ENSMUSG00000094728,
272,ENSMUSG00000094791,ENSG00000239810
273,ENSMUSG00000094791,ENSG00000229571
274,ENSMUSG00000094791,ENSG00000204505
275,ENSMUSG00000094791,ENSG00000204478
276,ENSMUSG00000094791,ENSG00000204501
277,ENSMUSG00000094791,ENSG00000270601
278,ENSMUSG00000094791,ENSG00000116726
279,ENSMUSG00000094791,ENSG00000120952
280,ENSMUSG00000094791,ENSG00000279169
281,ENSMUSG00000094791,ENSG00000204479
282,ENSMUSG00000094791,ENSG00000279804
283,ENSMUSG00000094791,ENSG00000204510
284,ENSMUSG00000094791,ENSG00000243073
285,ENSMUSG00000094791,ENSG00000280267
286,ENSMUSG00000094791,ENSG00000274764
287,ENSMUSG00000094791,ENSG00000116721
288,ENSMUSG00000094791,ENSG00000204480
289,ENSMUSG00000094791,ENSG00000232423
290,ENSMUSG00000094791,ENSG00000204481
291,ENSMUSG00000094791,ENSG00000237700
292,ENSMUSG00000094791,ENSG00000182330
293,ENSMUSG00000094791,ENSG00000187545
294,ENSMUSG00000144196,
295,ENSMUSG00000062783,
296,ENSMUSG00000096728,ENSG00000239810
297,ENSMUSG00000096728,ENSG00000229571
298,ENSMUSG00000096728,ENSG00000204505
299,ENSMUSG00000096728,ENSG00000204478
300,ENSMUSG00000096728,ENSG00000204501
301,ENSMUSG00000096728,ENSG00000270601
302,ENSMUSG00000096728,ENSG00000116726
303,ENSMUSG00000096728,ENSG00000120952
304,ENSMUSG00000096728,ENSG00000279169
305,ENSMUSG00000096728,ENSG00000204479
306,ENSMUSG00000096728,ENSG00000279804
307,ENSMUSG00000096728,ENSG00000204510
308,ENSMUSG00000096728,ENSG00000243073
309,ENSMUSG00000096728,ENSG00000280267
310,ENSMUSG00000096728,ENSG00000274764
311,ENSMUSG00000096728,ENSG00000116721
312,ENSMUSG00000096728,ENSG00000204480
313,ENSMUSG00000096728,ENSG00000232423
314,ENSMUSG00000096728,ENSG00000204481
315,ENSMUSG00000096728,ENSG00000237700
316,ENSMUSG00000096728,ENSG00000182330
317,ENSMUSG00000096728,ENSG00000187545
318,ENSMUSG00000096550,ENSG00000239810
319,ENSMUSG00000096550,ENSG00000229571
320,ENSMUSG00000096550,ENSG00000204505
321,ENSMUSG00000096550,ENSG00000204478
322,ENSMUSG00000096550,ENSG00000204501
323,ENSMUSG00000096550,ENSG00000270601
324,ENSMUSG00000096550,ENSG00000116726
325,ENSMUSG00000096550,ENSG00000120952
326,ENSMUSG00000096550,ENSG00000279169
327,ENSMUSG00000096550,ENSG00000204479
328,ENSMUSG00000096550,ENSG00000279804
329,ENSMUSG00000096550,ENSG00000204510
330,ENSMUSG00000096550,ENSG00000243073
331,ENSMUSG00000096550,ENSG00000280267
332,ENSMUSG00000096550,ENSG00000274764
333,ENSMUSG00000096550,ENSG00000116721
334,ENSMUSG00000096550,ENSG00000204480
335,ENSMUSG00000096550,ENSG00000232423
336,ENSMUSG00000096550,ENSG00000204481
337,ENSMUSG00000096550,ENSG00000237700
338,ENSMUSG00000096550,ENSG00000182330
339,ENSMUSG00000096550,ENSG00000187545
340,ENSMUSG00000096808,
341,ENSMUSG00000144203,
342,ENSMUSG00000094172,ENSG00000239810
343,ENSMUSG00000094172,ENSG00000229571
344,ENSMUSG00000094172,ENSG00000204505
345,ENSMUSG00000094172,ENSG00000204478
346,ENSMUSG00000094172,ENSG00000204501
347,ENSMUSG00000094172,ENSG00000270601
348,ENSMUSG00000094172,ENSG00000116726
349,ENSMUSG00000094172,ENSG00000120952
350,ENSMUSG00000094172,ENSG00000279169
351,ENSMUSG00000094172,ENSG00000204479
352,ENSMUSG00000094172,ENSG00000279804
353,ENSMUSG00000094172,ENSG00000204510
354,ENSMUSG00000094172,ENSG00000243073
355,ENSMUSG00000094172,ENSG00000280267
356,ENSMUSG00000094172,ENSG00000274764
357,ENSMUSG00000094172,ENSG00000116721
358,ENSMUSG00000094172,ENSG00000204480
359,ENSMUSG00000094172,ENSG00000232423
360,ENSMUSG00000094172,ENSG00000204481
361,ENSMUSG00000094172,ENSG00000237700
362,ENSMUSG00000094172,ENSG00000182330
363,ENSMUSG00000094172,ENSG00000187545
364,ENSMUSG00000144199,
365,ENSMUSG00000094887,ENSG00000239810
366,ENSMUSG00000094887,ENSG00000229571
367,ENSMUSG00000094887,ENSG00000204505
368,ENSMUSG00000094887,ENSG00000204478
369,ENSMUSG00000094887,ENSG00000204501
370,ENSMUSG00000094887,ENSG00000270601
371,ENSMUSG00000094887,ENSG00000116726
372,ENSMUSG00000094887,ENSG00000120952
373,ENSMUSG00000094887,ENSG00000279169
374,ENSMUSG00000094887,ENSG00000204479
375,ENSMUSG00000094887,ENSG00000279804
376,ENSMUSG00000094887,ENSG00000204510
377,ENSMUSG00000094887,ENSG00000243073
378,ENSMUSG00000094887,ENSG00000280267
379,ENSMUSG00000094887,ENSG00000274764
380,ENSMUSG00000094887,ENSG00000116721
381,ENSMUSG00000094887,ENSG00000204480
382,ENSMUSG00000094887,ENSG00000232423
383,ENSMUSG00000094887,ENSG00000204481
384,ENSMUSG00000094887,ENSG00000237700
385,ENSMUSG00000094887,ENSG00000182330
386,ENSMUSG00000094887,ENSG00000187545
387,ENSMUSG00000091585,ENSG00000239810
388,ENSMUSG00000091585,ENSG00000229571
389,ENSMUSG00000091585,ENSG00000204505
390,ENSMUSG00000091585,ENSG00000204478
391,ENSMUSG00000091585,ENSG00000204501
392,ENSMUSG00000091585,ENSG00000270601
393,ENSMUSG00000091585,ENSG00000116726
394,ENSMUSG00000091585,ENSG00000120952
395,ENSMUSG00000091585,ENSG00000279169
396,ENSMUSG00000091585,ENSG00000204479
397,ENSMUSG00000091585,ENSG00000279804
398,ENSMUSG00000091585,ENSG00000204510
399,ENSMUSG00000091585,ENSG00000243073
400,ENSMUSG00000091585,ENSG00000280267
401,ENSMUSG00000091585,ENSG00000274764
402,ENSMUSG00000091585,ENSG00000116721
403,ENSMUSG00000091585,ENSG00000204480
404,ENSMUSG00000091585,ENSG00000232423
405,ENSMUSG00000091585,ENSG00000204481
406,ENSMUSG00000091585,ENSG00000237700
407,ENSMUSG00000091585,ENSG00000182330
408,ENSMUSG00000091585,ENSG00000187545
409,ENSMUSG00000095763,ENSG00000239810
410,ENSMUSG00000095763,ENSG00000229571
411,ENSMUSG00000095763,ENSG00000204505
412,ENSMUSG00000095763,ENSG00000204478
413,ENSMUSG00000095763,ENSG00000204501
414,ENSMUSG00000095763,ENSG00000270601
415,ENSMUSG00000095763,ENSG00000116726
416,ENSMUSG00000095763,ENSG00000120952
417,ENSMUSG00000095763,ENSG00000279169
418,ENSMUSG00000095763,ENSG00000204479
419,ENSMUSG00000095763,ENSG00000279804
420,ENSMUSG00000095763,ENSG00000204510
421,ENSMUSG00000095763,ENSG00000243073
422,ENSMUSG00000095763,ENSG00000280267
423,ENSMUSG00000095763,ENSG00000274764
424,ENSMUSG00000095763,ENSG00000116721
425,ENSMUSG00000095763,ENSG00000204480
426,ENSMUSG00000095763,ENSG00000232423
427,ENSMUSG00000095763,ENSG00000204481
428,ENSMUSG00000095763,ENSG00000237700
429,ENSMUSG00000095763,ENSG00000182330
430,ENSMUSG00000095763,ENSG00000187545
431,ENSMUSG00000095523,ENSG00000239810
432,ENSMUSG00000095523,ENSG00000229571
433,ENSMUSG00000095523,ENSG00000204505
434,ENSMUSG00000095523,ENSG00000204478
435,ENSMUSG00000095523,ENSG00000204501
436,ENSMUSG00000095523,ENSG00000270601
437,ENSMUSG00000095523,ENSG00000116726
438,ENSMUSG00000095523,ENSG00000120952
439,ENSMUSG00000095523,ENSG00000279169
440,ENSMUSG00000095523,ENSG00000204479
441,ENSMUSG00000095523,ENSG00000279804
442,ENSMUSG00000095523,ENSG00000204510
443,ENSMUSG00000095523,ENSG00000243073
444,ENSMUSG00000095523,ENSG00000280267
445,ENSMUSG00000095523,ENSG00000274764
446,ENSMUSG00000095523,ENSG00000116721
447,ENSMUSG00000095523,ENSG00000204480
448,ENSMUSG00000095523,ENSG00000232423
449,ENSMUSG00000095523,ENSG00000204481
450,ENSMUSG00000095523,ENSG00000237700
451,ENSMUSG00000095523,ENSG00000182330
452,ENSMUSG00000095523,ENSG00000187545
453,ENSMUSG00000095475,ENSG00000239810
454,ENSMUSG00000095475,ENSG00000229571
455,ENSMUSG00000095475,ENSG00000204505
456,ENSMUSG00000095475,ENSG00000204478
457,ENSMUSG00000095475,ENSG00000204501
458,ENSMUSG00000095475,ENSG00000270601
459,ENSMUSG00000095475,ENSG00000116726
460,ENSMUSG00000095475,ENSG00000120952
461,ENSMUSG00000095475,ENSG00000279169
462,ENSMUSG00000095475,ENSG00000204479
463,ENSMUSG00000095475,ENSG00000279804
464,ENSMUSG00000095475,ENSG00000204510
465,ENSMUSG00000095475,ENSG00000243073
466,ENSMUSG00000095475,ENSG00000280267
467,ENSMUSG00000095475,ENSG00000274764
468,ENSMUSG00000095475,ENSG00000116721
469,ENSMUSG00000095475,ENSG00000204480
470,ENSMUSG00000095475,ENSG00000232423
471,ENSMUSG00000095475,ENSG00000204481
472,ENSMUSG00000095475,ENSG00000237700
473,ENSMUSG00000095475,ENSG00000182330
474,ENSMUSG00000095475,ENSG00000187545
475,ENSMUSG00000094855,ENSG00000239810
476,ENSMUSG00000094855,ENSG00000229571
477,ENSMUSG00000094855,ENSG00000204505
478,ENSMUSG00000094855,ENSG00000204478
479,ENSMUSG00000094855,ENSG00000204501
480,ENSMUSG00000094855,ENSG00000270601
481,ENSMUSG00000094855,ENSG00000116726
482,ENSMUSG00000094855,ENSG00000120952
483,ENSMUSG00000094855,ENSG00000279169
484,ENSMUSG00000094855,ENSG00000204479
485,ENSMUSG00000094855,ENSG00000279804
486,ENSMUSG00000094855,ENSG00000204510
487,ENSMUSG00000094855,ENSG00000243073
488,ENSMUSG00000094855,ENSG00000280267
489,ENSMUSG00000094855,ENSG00000274764
490,ENSMUSG00000094855,ENSG00000116721
491,ENSMUSG00000094855,ENSG00000204480
492,ENSMUSG00000094855,ENSG00000232423
493,ENSMUSG00000094855,ENSG00000204481
494,ENSMUSG00000094855,ENSG00000237700
495,ENSMUSG00000094855,ENSG00000182330
496,ENSMUSG00000094855,ENSG00000187545
497,ENSMUSG00002076890,
498,ENSMUSG00000094722,ENSG00000239810
499,ENSMUSG00000094722,ENSG00000229571
500,ENSMUSG00000094722,ENSG00000204505
501,ENSMUSG00000094722,ENSG00000204478
502,ENSMUSG00000094722,ENSG00000204501
503,ENSMUSG00000094722,ENSG00000270601
504,ENSMUSG00000094722,ENSG00000116726
505,ENSMUSG00000094722,ENSG00000120952
506,ENSMUSG00000094722,ENSG00000279169
507,ENSMUSG00000094722,ENSG00000204479
508,ENSMUSG00000094722,ENSG00000279804
509,ENSMUSG00000094722,ENSG00000204510
510,ENSMUSG00000094722,ENSG00000243073
511,ENSMUSG00000094722,ENSG00000280267
512,ENSMUSG00000094722,ENSG00000274764
513,ENSMUSG00000094722,ENSG00000116721
514,ENSMUSG00000094722,ENSG00000204480
515,ENSMUSG00000094722,ENSG00000232423
516,ENSMUSG00000094722,ENSG00000204481
517,ENSMUSG00000094722,ENSG00000237700
518,ENSMUSG00000094722,ENSG00000182330
519,ENSMUSG00000094722,ENSG00000187545
520,ENSMUSG00000094915,ENSG00000067066
521,ENSMUSG00000094303,ENSG00000239810
522,ENSMUSG00000094303,ENSG00000229571
523,ENSMUSG00000094303,ENSG00000204505
524,ENSMUSG00000094303,ENSG00000204478
525,ENSMUSG00000094303,ENSG00000204501
526,ENSMUSG00000094303,ENSG00000270601
527,ENSMUSG00000094303,ENSG00000116726
528,ENSMUSG00000094303,ENSG00000120952
529,ENSMUSG00000094303,ENSG00000279169
530,ENSMUSG00000094303,ENSG00000204479
531,ENSMUSG00000094303,ENSG00000279804
532,ENSMUSG00000094303,ENSG00000204510
533,ENSMUSG00000094303,ENSG00000243073
534,ENSMUSG00000094303,ENSG00000280267
535,ENSMUSG00000094303,ENSG00000274764
536,ENSMUSG00000094303,ENSG00000116721
537,ENSMUSG00000094303,ENSG00000204480
538,ENSMUSG00000094303,ENSG00000232423
539,ENSMUSG00000094303,ENSG00000204481
540,ENSMUSG00000094303,ENSG00000237700
541,ENSMUSG00000094303,ENSG00000182330
542,ENSMUSG00000094303,ENSG00000187545
543,ENSMUSG00000095250,ENSG00000135899
544,ENSMUSG00000079808,ENSG00000135899
545,ENSMUSG00000095787,
546,ENSMUSG00000096236,ENSG00000239810
547,ENSMUSG00000096236,ENSG00000229571
548,ENSMUSG00000096236,ENSG00000204505
549,ENSMUSG00000096236,ENSG00000204478
550,ENSMUSG00000096236,ENSG00000204501
551,ENSMUSG00000096236,ENSG00000270601
552,ENSMUSG00000096236,ENSG00000116726
553,ENSMUSG00000096236,ENSG00000120952
554,ENSMUSG00000096236,ENSG00000279169
555,ENSMUSG00000096236,ENSG00000204479
556,ENSMUSG00000096236,ENSG00000279804
557,ENSMUSG00000096236,ENSG00000204510
558,ENSMUSG00000096236,ENSG00000243073
559,ENSMUSG00000096236,ENSG00000280267
560,ENSMUSG00000096236,ENSG00000274764
561,ENSMUSG00000096236,ENSG00000116721
562,ENSMUSG00000096236,ENSG00000204480
563,ENSMUSG00000096236,ENSG00000232423
564,ENSMUSG00000096236,ENSG00000204481
565,ENSMUSG00000096236,ENSG00000237700
566,ENSMUSG00000096236,ENSG00000182330
567,ENSMUSG00000096236,ENSG00000187545
568,ENSMUSG00000096100,
569,ENSMUSG00000094054,
570,ENSMUSG00000096756,ENSG00000239810
571,ENSMUSG00000096756,ENSG00000229571
572,ENSMUSG00000096756,ENSG00000204505
573,ENSMUSG00000096756,ENSG00000204478
574,ENSMUSG00000096756,ENSG00000204501
575,ENSMUSG00000096756,ENSG00000270601
576,ENSMUSG00000096756,ENSG00000116726
577,ENSMUSG00000096756,ENSG00000120952
578,ENSMUSG00000096756,ENSG00000279169
579,ENSMUSG00000096756,ENSG00000204479
580,ENSMUSG00000096756,ENSG00000279804
581,ENSMUSG00000096756,ENSG00000204510
582,ENSMUSG00000096756,ENSG00000243073
583,ENSMUSG00000096756,ENSG00000280267
584,ENSMUSG00000096756,ENSG00000274764
585,ENSMUSG00000096756,ENSG00000116721
586,ENSMUSG00000096756,ENSG00000204480
587,ENSMUSG00000096756,ENSG00000232423
588,ENSMUSG00000096756,ENSG00000204481
589,ENSMUSG00000096756,ENSG00000237700
590,ENSMUSG00000096756,ENSG00000182330
591,ENSMUSG00000096756,ENSG00000187545
592,ENSMUSG00000095672,ENSG00000135899
593,ENSMUSG00000079190,
594,ENSMUSG00000094514,ENSG00000067066
595,ENSMUSG00000144204,
596,ENSMUSG00002074970,
597,ENSMUSG00002075729,
598,ENSMUSG00000095041,
599,ENSMUSG00000144201,
600,ENSMUSG00000100384,
601,ENSMUSG00000100216,
602,ENSMUSG00000099641,
603,ENSMUSG00000095634,
604,ENSMUSG00000101393,
605,ENSMUSG00000100885,
606,ENSMUSG00000101120,
607,ENSMUSG00000101216,
608,ENSMUSG00000100032,ENSG00000139351
609,ENSMUSG00000101080,
610,ENSMUSG00000094444,
611,ENSMUSG00000100308,
612,ENSMUSG00000101423,
613,ENSMUSG00000095626,
614,ENSMUSG00000101761,
615,ENSMUSG00000099493,
616,ENSMUSG00000096777,
617,ENSMUSG00000102119,
618,ENSMUSG00000100739,
619,ENSMUSG00000095345,
620,ENSMUSG00000100709,
621,ENSMUSG00000100976,
622,ENSMUSG00000100489,
623,ENSMUSG00000101239,
624,ENSMUSG00000100971,
625,ENSMUSG00000100509,
626,ENSMUSG00000095553,
627,ENSMUSG00000101099,
628,ENSMUSG00000101601,
629,ENSMUSG00000101516,
630,ENSMUSG00000101359,
631,ENSMUSG00000100790,
632,ENSMUSG00000101302,
633,ENSMUSG00000102125,
634,ENSMUSG00000094064,
635,ENSMUSG00000101421,
